"ID","alloy","cutTemp","rollTemp","firstPassRollPressure","secondPassRollPressure","topEdgeMicroChipping","blockSource","machineRestart","contourDefNdx","clearPassNdx"
160001,"2324","med","high",600,300,"yes","Argon-Industries","no",5,1.94778963278129
160002,"2224","high","low",475,475,"no","MasterAlloys","no",5,1.90349412126288
160003,"2024-T3","high","low",550,325,"no","Argon-Industries","no",4,1.92937276921195
160004,"2024-T3","med","med",600,400,"no","Argon-Industries","no",2,2.07753145955148
160005,"7475","high","high",575,300,"no","L27","no",2,1.80787946611364
160006,"5052","low","high",400,400,"no","Argon-Industries","no",2,1.98856976908252
160007,"7475","high","low",400,450,"no","MasterAlloys","no",5,1.73404629351781
160008,"7055","med","low",600,475,"yes","L27","no",2,1.76561273390197
160009,"6061","high","high",600,475,"no","Argon-Industries","no",2,1.87512486706213
160010,"7075-T6","low","med",600,500,"no","L27","no",2,2.15419567273084
160011,"7068","low","high",600,300,"no","Argon-Industries","no",2,1.83229473809288
160012,"7055","med","med",450,450,"yes","Argon-Industries","no",5,1.49245219299269
160013,"5052","high","med",475,475,"no","Argon-Industries","no",2,2.15652209227566
160014,"7475","high","med",450,350,"no","MasterAlloys","no",2,1.90341423104074
160015,"7068","med","low",425,375,"no","Argon-Industries","no",3,1.87573747133164
160016,"7475","low","low",575,450,"no","MasterAlloys","no",1,2.12649767081314
160017,"5052","low","high",500,325,"no","L27","no",1,1.78888417725504
160018,"2324","low","high",425,475,"no","L27","no",5,2.05252505118176
160019,"7055","high","high",525,375,"uncertain","Argon-Industries","no",5,2.08551302091699
160020,"7075-T6","high","high",475,500,"yes","Argon-Industries","no",2,2.06433466470766
160021,"5052","high","med",600,450,"uncertain","Argon-Industries","no",4,1.88142740623849
160022,"5052","low","high",450,300,"uncertain","Argon-Industries","no",2,1.89915028037101
160023,"2024-T3","low","low",600,500,"no","L27","no",2,2.09968664956591
160024,"7475","low","high",500,475,"no","Argon-Industries","no",3,1.99577077266348
160025,"7068","high","low",525,500,"no","Argon-Industries","no",2,1.80321034461507
160026,"7475","high","low",450,500,"no","MasterAlloys","no",1,1.81115424249827
160027,"6063","high","low",575,350,"no","Argon-Industries","no",5,2.01067562665247
160028,"7075-T6","high","low",500,475,"yes","MasterAlloys","no",1,1.79552506396871
160029,"7068","low","high",550,375,"uncertain","Argon-Industries","no",3,1.90934672942901
160030,"7068","low","low",475,325,"no","Argon-Industries","no",5,2.03043066546019
160031,"7055","med","med",550,325,"no","L27","no",5,2.00840656294178
160032,"7068","high","high",475,325,"no","MasterAlloys","yes",5,1.74383692918566
160033,"6061","low","low",475,325,"no","Argon-Industries","no",2,1.66604658118604
160034,"7075-T6","high","low",500,425,"no","Argon-Industries","no",2,1.9659772817345
160035,"6063","high","low",575,425,"no","Argon-Industries","no",2,2.1355212207186
160036,"6063","med","low",400,400,"no","Argon-Industries","no",2,2.0054769880437
160037,"7055","high","high",400,350,"no","MasterAlloys","no",2,2.08584479167541
160038,"5052","low","med",600,425,"uncertain","Argon-Industries","no",1,2.05863386128366
160039,"5052","med","low",500,500,"no","Argon-Industries","no",2,1.87037645305747
160040,"7055","high","med",475,300,"no","Argon-Industries","yes",4,1.99007603521022
160041,"7475","med","low",500,400,"yes","Argon-Industries","no",1,2.01420074974077
