"ID","alloy","cutTemp","rollTemp","firstPassRollPressure","secondPassRollPressure","topEdgeMicroChipping","blockSource","machineRestart","contourDefNdx","clearPassNdx","y_passXtremeDurability"
1,"2224","med","med",500,350,"no","MasterAlloys","no",5,2.0135402548414,0
2,"2324","low","high",575,325,"no","Argon-Industries","no",2,1.88729062702926,1
3,"6063","med","low",450,350,"no","L27","no",2,2.01634682065317,1
4,"2224","high","low",600,500,"no","L27","no",5,1.88724962473197,0
5,"6061","low","low",525,425,"no","Argon-Industries","no",5,2.15625049472177,0
6,"6063","med","med",450,425,"uncertain","Argon-Industries","yes",2,2.03094354330875,0
7,"2024-T3","low","high",400,325,"yes","Argon-Industries","no",2,1.97445655327903,0
8,"7068","high","low",400,300,"no","Argon-Industries","no",2,2.09296688371255,0
9,"6061","high","low",450,425,"no","Argon-Industries","no",2,1.91600678781701,0
10,"2024-T3","high","low",425,350,"no","Argon-Industries","no",5,1.89025169656072,0
11,"2024-X","high","low",400,450,"no","Argon-Industries","no",5,1.9014712551315,0
12,"6061","high","low",550,400,"no","Argon-Industries","no",5,1.95361784321055,0
13,"6063","high","high",425,500,"no","Argon-Industries","no",5,1.63297266133259,0
14,"7075-T6","med","med",425,475,"no","Argon-Industries","yes",2,1.94107613060049,1
15,"6063","high","high",600,375,"no","Argon-Industries","no",5,2.23124963288078,0
16,"5052","high","high",575,350,"no","Argon-Industries","no",2,2.07597807193586,1
17,"6063","high","med",550,400,"no","Argon-Industries","yes",1,2.0750077320109,1
18,"7075-T6","high","low",550,425,"no","Argon-Industries","no",2,1.8649894070594,1
19,"6061","high","low",400,300,"no","Argon-Industries","yes",2,2.0374760874683,0
20,"2024-X","high","low",425,300,"no","Argon-Industries","no",5,2.01501217077536,0
21,"2024-T3","med","high",575,400,"no","MasterAlloys","no",2,1.60329188482894,1
22,"7075-T6","high","low",400,400,"yes","Argon-Industries","no",5,1.97792804061943,0
23,"6061","high","low",575,500,"yes","L27","no",2,1.82728343078767,0
24,"7475","high","high",450,300,"no","MasterAlloys","no",5,2.11306876933056,0
25,"2024-X","high","high",550,400,"no","Argon-Industries","no",5,2.13271102390961,0
26,"6061","low","high",400,425,"no","L27","no",2,2.00512317285507,1
27,"7055","low","med",450,350,"no","Argon-Industries","no",2,1.65928341874653,0
28,"2324","high","med",525,450,"no","MasterAlloys","no",2,1.94228701343805,1
29,"7075-T6","low","med",425,325,"no","L27","no",2,1.70686915741321,0
30,"6061","med","high",550,500,"no","Argon-Industries","no",2,1.86538530110461,0
31,"5052","high","low",550,475,"yes","Argon-Industries","no",2,2.03618336847564,0
32,"7075-T6","med","low",600,325,"no","MasterAlloys","no",5,2.06157565206314,0
33,"7475","med","high",600,475,"no","Argon-Industries","no",5,2.11041541954835,0
34,"6063","med","low",525,425,"no","MasterAlloys","yes",2,1.75531970265153,1
35,"2324","med","med",450,325,"yes","Argon-Industries","no",4,2.1427863336478,0
36,"2224","high","med",425,500,"no","L27","no",5,1.75163465106101,0
37,"2024-T3","high","med",400,300,"no","L27","no",2,2.15939036921556,1
38,"7068","low","med",450,425,"no","L27","no",2,1.87125059014649,0
39,"2024-T3","med","med",475,475,"no","L27","no",4,1.85965505022624,1
40,"6061","med","med",450,450,"yes","MasterAlloys","no",2,1.98399951540436,0
41,"2024-T3","low","med",500,500,"no","L27","no",2,1.90191606659255,1
42,"2324","low","low",600,300,"no","Argon-Industries","no",1,1.88466079337131,1
43,"2324","low","low",550,325,"no","Argon-Industries","yes",5,1.83555233332297,1
44,"6063","low","low",550,475,"no","L27","yes",4,1.81899046984591,1
45,"7055","high","med",575,300,"yes","Argon-Industries","no",4,2.03181130059403,0
46,"7068","high","high",475,300,"no","Argon-Industries","no",2,2.05381352535782,1
47,"7475","low","med",600,450,"no","L27","no",2,1.83579161563053,1
48,"6061","med","med",475,425,"no","L27","no",2,1.81877441330579,0
49,"2024-T3","high","low",500,450,"no","L27","no",2,1.89565095654043,1
50,"7068","high","low",400,375,"no","Argon-Industries","no",5,2.13818286455072,0
51,"7068","low","med",525,425,"yes","L27","no",2,2.14391883912542,1
52,"7475","low","high",550,375,"no","Argon-Industries","no",4,1.7561141458561,0
53,"2024-X","high","low",600,300,"uncertain","MasterAlloys","yes",2,2.23325723399897,0
54,"2224","high","low",475,350,"no","Argon-Industries","no",5,1.9358804622855,1
55,"5052","high","low",400,425,"no","MasterAlloys","no",2,1.98117881688868,0
56,"7075-T6","low","med",600,375,"yes","Argon-Industries","no",2,1.99333978298605,0
57,"7475","high","low",600,300,"yes","Argon-Industries","no",3,1.86750254747026,0
58,"5052","high","med",400,375,"uncertain","L27","no",5,1.9923422286618,0
59,"6061","high","med",600,500,"no","Argon-Industries","no",5,1.51805569764377,0
60,"7075-T6","low","low",400,375,"no","Argon-Industries","no",2,2.05475964295679,0
61,"7055","low","low",575,475,"no","L27","no",2,1.89404712784393,1
62,"6061","low","med",600,375,"no","MasterAlloys","no",2,1.97069158131886,1
63,"2324","high","high",450,450,"uncertain","L27","no",2,1.93436403874712,1
64,"2324","low","low",575,450,"no","Argon-Industries","no",1,1.68555591008496,1
65,"7068","low","low",475,475,"no","Argon-Industries","no",4,2.11260553972649,0
66,"2024-T3","low","med",475,425,"uncertain","Argon-Industries","no",5,1.91933964458138,0
67,"5052","high","med",400,500,"no","MasterAlloys","no",5,1.85928217187954,0
68,"5052","high","med",450,425,"yes","Argon-Industries","no",5,1.95735442991063,0
69,"6063","high","low",400,500,"no","MasterAlloys","no",2,1.87299363600759,0
70,"7068","low","low",600,500,"no","MasterAlloys","no",5,1.92201845500265,0
71,"2024-X","low","low",400,450,"yes","MasterAlloys","no",2,2.07435603767859,0
72,"6061","low","med",425,400,"no","Argon-Industries","no",4,1.83259888392155,0
73,"2024-T3","high","med",575,350,"no","MasterAlloys","no",5,1.72627352710375,0
74,"7475","med","high",525,375,"no","L27","no",5,2.01174439895912,1
75,"7068","low","high",400,425,"no","Argon-Industries","yes",2,1.75867330236571,0
76,"7475","high","high",500,325,"no","Argon-Industries","no",2,2.02927507695216,0
77,"7068","low","low",400,500,"no","L27","no",4,1.8800837727379,0
78,"2024-X","low","med",500,425,"yes","Argon-Industries","no",2,1.96720652392195,0
79,"7475","med","low",500,475,"no","Argon-Industries","yes",2,1.79665510750703,1
80,"7475","high","low",550,375,"no","Argon-Industries","no",5,2.01311615810628,1
81,"6063","low","low",450,500,"no","Argon-Industries","no",2,2.05794056210302,0
82,"2224","high","low",525,400,"no","Argon-Industries","yes",2,1.94699810424063,1
83,"2224","high","low",450,375,"no","L27","no",3,2.08432692221463,1
84,"6061","low","low",500,475,"no","Argon-Industries","no",5,1.94205728333561,0
85,"5052","low","high",450,475,"no","MasterAlloys","no",5,1.92615840075534,0
86,"6063","high","low",475,400,"no","L27","no",2,1.95434479279012,1
87,"5052","med","high",600,450,"no","MasterAlloys","no",4,1.81345375885857,1
88,"5052","med","low",425,400,"no","Argon-Industries","no",2,1.80316211637214,0
89,"7075-T6","med","med",600,325,"uncertain","Argon-Industries","no",2,2.06158891184341,1
90,"7055","low","med",600,325,"no","L27","no",5,1.71940158284831,0
91,"7475","med","med",575,325,"yes","L27","no",3,1.66056133426769,1
92,"7075-T6","high","low",600,350,"no","L27","no",2,1.86105639859615,1
93,"7068","high","low",525,325,"no","L27","no",2,2.05003954511014,1
94,"6061","high","high",525,425,"yes","L27","no",2,1.80839592171474,1
95,"2024-T3","high","low",500,450,"no","Argon-Industries","no",2,2.11122517973017,1
96,"2224","high","high",425,375,"no","Argon-Industries","no",2,1.82266439867263,0
